"branchPath","branchName","generationNumber","filePath","newEntriesAdded"
"C:\Users\cstil\Downloads\Bachelor runs\10 generationLine1","10 generationLine1","1","C:\Users\cstil\Downloads\Bachelor runs\10 generationLine1\1\generatedSkills.json","5"
"C:\Users\cstil\Downloads\Bachelor runs\10 generationLine1","10 generationLine1","2","C:\Users\cstil\Downloads\Bachelor runs\10 generationLine1\2\generatedSkills.json","3"
"C:\Users\cstil\Downloads\Bachelor runs\10 generationLine1","10 generationLine1","3","C:\Users\cstil\Downloads\Bachelor runs\10 generationLine1\3\generatedSkills.json","2"
"C:\Users\cstil\Downloads\Bachelor runs\10 generationLine1","10 generationLine1","4","C:\Users\cstil\Downloads\Bachelor runs\10 generationLine1\4\generatedSkills.json","1"
"C:\Users\cstil\Downloads\Bachelor runs\10 generationLine1","10 generationLine1","6","C:\Users\cstil\Downloads\Bachelor runs\10 generationLine1\6\generatedSkills.json","1"
"C:\Users\cstil\Downloads\Bachelor runs\10 generationLine1","10 generationLine1","7","C:\Users\cstil\Downloads\Bachelor runs\10 generationLine1\7\generatedSkills.json","1"
"C:\Users\cstil\Downloads\Bachelor runs\10 generationLine1","10 generationLine1","8","C:\Users\cstil\Downloads\Bachelor runs\10 generationLine1\8\generatedSkills.json","1"
"C:\Users\cstil\Downloads\Bachelor runs\10 generationLine1","10 generationLine1","9","C:\Users\cstil\Downloads\Bachelor runs\10 generationLine1\9\generatedSkills.json","1"
"C:\Users\cstil\Downloads\Bachelor runs\10 generationLine1","10 generationLine1","10","C:\Users\cstil\Downloads\Bachelor runs\10 generationLine1\10\generatedSkills.json","1"
"C:\Users\cstil\Downloads\Bachelor runs\10 generationLine1","10 generationLine1","14","C:\Users\cstil\Downloads\Bachelor runs\10 generationLine1\14\generatedSkills.json","1"
"C:\Users\cstil\Downloads\Bachelor runs\10 generationLine1","10 generationLine1","16","C:\Users\cstil\Downloads\Bachelor runs\10 generationLine1\16\generatedSkills.json","2"
"C:\Users\cstil\Downloads\Bachelor runs\10 generationLine1","10 generationLine1","17","C:\Users\cstil\Downloads\Bachelor runs\10 generationLine1\17\generatedSkills.json","2"
"C:\Users\cstil\Downloads\Bachelor runs\10 generationLine1","10 generationLine1","19","C:\Users\cstil\Downloads\Bachelor runs\10 generationLine1\19\generatedSkills.json","1"
"C:\Users\cstil\Downloads\Bachelor runs\10 generationLine1","10 generationLine1","20","C:\Users\cstil\Downloads\Bachelor runs\10 generationLine1\20\generatedSkills.json","1"
"C:\Users\cstil\Downloads\Bachelor runs\13 Real Run 2 removed skills\RunData\generationLine1","generationLine1","1","C:\Users\cstil\Downloads\Bachelor runs\13 Real Run 2 removed skills\RunData\generationLine1\1\generatedSkills.json","2"
"C:\Users\cstil\Downloads\Bachelor runs\13 Real Run 2 removed skills\RunData\generationLine1","generationLine1","2","C:\Users\cstil\Downloads\Bachelor runs\13 Real Run 2 removed skills\RunData\generationLine1\2\generatedSkills.json","2"
"C:\Users\cstil\Downloads\Bachelor runs\13 Real Run 2 removed skills\RunData\generationLine1","generationLine1","3","C:\Users\cstil\Downloads\Bachelor runs\13 Real Run 2 removed skills\RunData\generationLine1\3\generatedSkills.json","1"
"C:\Users\cstil\Downloads\Bachelor runs\14 Real Run 3 - 20 generations\RunData\generationLine1","generationLine1","10","C:\Users\cstil\Downloads\Bachelor runs\14 Real Run 3 - 20 generations\RunData\generationLine1\10\generatedSkills.json","1"
"C:\Users\cstil\Downloads\Bachelor runs\15 Real Run 4 - new knowlegebase prompt\RunData\generationLine1","generationLine1","3","C:\Users\cstil\Downloads\Bachelor runs\15 Real Run 4 - new knowlegebase prompt\RunData\generationLine1\3\generatedSkills.json","1"
"C:\Users\cstil\Downloads\Bachelor runs\16 Real Run 5 - Grok all models\RunData\generationLine1","generationLine1","2","C:\Users\cstil\Downloads\Bachelor runs\16 Real Run 5 - Grok all models\RunData\generationLine1\2\generatedSkills.json","1"
"C:\Users\cstil\Downloads\Bachelor runs\17 Real Run 6 - new knowledgebase prompt 2\RunData\generationLine1","generationLine1","3","C:\Users\cstil\Downloads\Bachelor runs\17 Real Run 6 - new knowledgebase prompt 2\RunData\generationLine1\3\generatedSkills.json","1"
"C:\Users\cstil\Downloads\Bachelor runs\18 Real Run 7 - Kimi k26\RunData\generationLine1","generationLine1","3","C:\Users\cstil\Downloads\Bachelor runs\18 Real Run 7 - Kimi k26\RunData\generationLine1\3\generatedSkills.json","1"
"C:\Users\cstil\Downloads\Bachelor runs\18 Real Run 7 - Kimi k26\RunData\generationLine1","generationLine1","4","C:\Users\cstil\Downloads\Bachelor runs\18 Real Run 7 - Kimi k26\RunData\generationLine1\4\generatedSkills.json","1"
"C:\Users\cstil\Downloads\Bachelor runs\21 Real Run 10 - only send message and do nothing tools\RunData\generationLine1","generationLine1","1","C:\Users\cstil\Downloads\Bachelor runs\21 Real Run 10 - only send message and do nothing tools\RunData\generationLine1\1\generatedSkills.json","4"
"C:\Users\cstil\Downloads\Bachelor runs\21 Real Run 10 - only send message and do nothing tools\RunData\generationLine1","generationLine1","2","C:\Users\cstil\Downloads\Bachelor runs\21 Real Run 10 - only send message and do nothing tools\RunData\generationLine1\2\generatedSkills.json","2"
"C:\Users\cstil\Downloads\Bachelor runs\21 Real Run 10 - only send message and do nothing tools\RunData\generationLine1","generationLine1","3","C:\Users\cstil\Downloads\Bachelor runs\21 Real Run 10 - only send message and do nothing tools\RunData\generationLine1\3\generatedSkills.json","4"
"C:\Users\cstil\Downloads\Bachelor runs\21 Real Run 10 - only send message and do nothing tools\RunData\generationLine1","generationLine1","4","C:\Users\cstil\Downloads\Bachelor runs\21 Real Run 10 - only send message and do nothing tools\RunData\generationLine1\4\generatedSkills.json","1"
"C:\Users\cstil\Downloads\Bachelor runs\21 Real Run 10 - only send message and do nothing tools\RunData\generationLine1","generationLine1","5","C:\Users\cstil\Downloads\Bachelor runs\21 Real Run 10 - only send message and do nothing tools\RunData\generationLine1\5\generatedSkills.json","5"
"C:\Users\cstil\Downloads\Bachelor runs\22 Real Run 12 - survival focus and gemini knowledgebase\RunData\generationLine1","generationLine1","1","C:\Users\cstil\Downloads\Bachelor runs\22 Real Run 12 - survival focus and gemini knowledgebase\RunData\generationLine1\1\generatedSkills.json","3"
"C:\Users\cstil\Downloads\Bachelor runs\22 Real Run 12 - survival focus and gemini knowledgebase\RunData\generationLine1","generationLine1","2","C:\Users\cstil\Downloads\Bachelor runs\22 Real Run 12 - survival focus and gemini knowledgebase\RunData\generationLine1\2\generatedSkills.json","3"
"C:\Users\cstil\Downloads\Bachelor runs\22 Real Run 12 - survival focus and gemini knowledgebase\RunData\generationLine1","generationLine1","3","C:\Users\cstil\Downloads\Bachelor runs\22 Real Run 12 - survival focus and gemini knowledgebase\RunData\generationLine1\3\generatedSkills.json","1"
"C:\Users\cstil\Downloads\Bachelor runs\22 Real Run 12 - survival focus and gemini knowledgebase\RunData\generationLine1","generationLine1","5","C:\Users\cstil\Downloads\Bachelor runs\22 Real Run 12 - survival focus and gemini knowledgebase\RunData\generationLine1\5\generatedSkills.json","2"
"C:\Users\cstil\Downloads\Bachelor runs\22 Real Run 12 - survival focus and gemini knowledgebase\RunData\generationLine1","generationLine1","6","C:\Users\cstil\Downloads\Bachelor runs\22 Real Run 12 - survival focus and gemini knowledgebase\RunData\generationLine1\6\generatedSkills.json","2"
"C:\Users\cstil\Downloads\Bachelor runs\22 Real Run 12 - survival focus and gemini knowledgebase\RunData\generationLine1","generationLine1","7","C:\Users\cstil\Downloads\Bachelor runs\22 Real Run 12 - survival focus and gemini knowledgebase\RunData\generationLine1\7\generatedSkills.json","8"
"C:\Users\cstil\Downloads\Bachelor runs\22 Real Run 12 - survival focus and gemini knowledgebase\RunData\generationLine1","generationLine1","9","C:\Users\cstil\Downloads\Bachelor runs\22 Real Run 12 - survival focus and gemini knowledgebase\RunData\generationLine1\9\generatedSkills.json","2"
"C:\Users\cstil\Downloads\Bachelor runs\23 Real Run 13 - State of the art\RunData\generationLine1","generationLine1","1","C:\Users\cstil\Downloads\Bachelor runs\23 Real Run 13 - State of the art\RunData\generationLine1\1\generatedSkills.json","5"
"C:\Users\cstil\Downloads\Bachelor runs\23 Real Run 13 - State of the art\RunData\generationLine1","generationLine1","2","C:\Users\cstil\Downloads\Bachelor runs\23 Real Run 13 - State of the art\RunData\generationLine1\2\generatedSkills.json","2"
"C:\Users\cstil\Downloads\Bachelor runs\23 Real Run 13 - State of the art\RunData\generationLine1","generationLine1","3","C:\Users\cstil\Downloads\Bachelor runs\23 Real Run 13 - State of the art\RunData\generationLine1\3\generatedSkills.json","1"
"C:\Users\cstil\Downloads\Bachelor runs\23 Real Run 13 - State of the art\RunData\generationLine1","generationLine1","4","C:\Users\cstil\Downloads\Bachelor runs\23 Real Run 13 - State of the art\RunData\generationLine1\4\generatedSkills.json","1"
"C:\Users\cstil\Downloads\Bachelor runs\3 generationLine1","3 generationLine1","3","C:\Users\cstil\Downloads\Bachelor runs\3 generationLine1\3\generatedSkills.json","1"
"C:\Users\cstil\Downloads\Bachelor runs\4 generationLine2","4 generationLine2","2","C:\Users\cstil\Downloads\Bachelor runs\4 generationLine2\2\generatedSkills.json","1"
"C:\Users\cstil\Downloads\Bachelor runs\5 generationLine3","5 generationLine3","6","C:\Users\cstil\Downloads\Bachelor runs\5 generationLine3\6\generatedSkills.json","2"
"C:\Users\cstil\Downloads\Bachelor runs\6 generationLine4","6 generationLine4","4","C:\Users\cstil\Downloads\Bachelor runs\6 generationLine4\4\generatedSkills.json","1"
"C:\Users\cstil\Downloads\Bachelor runs\7 generationLine5","7 generationLine5","1","C:\Users\cstil\Downloads\Bachelor runs\7 generationLine5\1\generatedSkills.json","1"
"C:\Users\cstil\Downloads\Bachelor runs\8 generationLine6","8 generationLine6","3","C:\Users\cstil\Downloads\Bachelor runs\8 generationLine6\3\generatedSkills.json","1"
"C:\Users\cstil\Downloads\Bachelor runs\9 generationLine7","9 generationLine7","1","C:\Users\cstil\Downloads\Bachelor runs\9 generationLine7\1\generatedSkills.json","3"
"C:\Users\cstil\Downloads\Bachelor runs\9 generationLine7","9 generationLine7","2","C:\Users\cstil\Downloads\Bachelor runs\9 generationLine7\2\generatedSkills.json","2"
"C:\Users\cstil\Downloads\Bachelor runs\9 generationLine7","9 generationLine7","3","C:\Users\cstil\Downloads\Bachelor runs\9 generationLine7\3\generatedSkills.json","1"
"C:\Users\cstil\Downloads\Bachelor runs\9 generationLine7","9 generationLine7","5","C:\Users\cstil\Downloads\Bachelor runs\9 generationLine7\5\generatedSkills.json","3"
"C:\Users\cstil\Downloads\Bachelor runs\9 generationLine7","9 generationLine7","6","C:\Users\cstil\Downloads\Bachelor runs\9 generationLine7\6\generatedSkills.json","1"
"C:\Users\cstil\Downloads\Bachelor runs\9 generationLine7","9 generationLine7","7","C:\Users\cstil\Downloads\Bachelor runs\9 generationLine7\7\generatedSkills.json","1"
"C:\Users\cstil\Downloads\Bachelor runs\9 generationLine7","9 generationLine7","10","C:\Users\cstil\Downloads\Bachelor runs\9 generationLine7\10\generatedSkills.json","1"
"C:\Users\cstil\Downloads\Bachelor runs\9 generationLine7","9 generationLine7","16","C:\Users\cstil\Downloads\Bachelor runs\9 generationLine7\16\generatedSkills.json","1"
"C:\Users\cstil\Downloads\Bachelor runs\9 generationLine7","9 generationLine7","20","C:\Users\cstil\Downloads\Bachelor runs\9 generationLine7\20\generatedSkills.json","1"
