run,generation_line,generation,rule_id,status,matched_previous_rule_id,similarity,category,rule_text,previous_rule_text
2 generationLine2,direct,2,00001,new,,,Self Preservation,Equip Leather Tunic to torso immediately upon pickup.,
2 generationLine2,direct,2,00004,new,,,Communication,"After clearing threats, message teammate: confirm clear, report arrows remaining, signal ready for next wave.",
2 generationLine2,direct,2,00005,new,,,Spatial Coordination & Architecture|Self Preservation,"When health low: eat bread until full, bow attack all approaching zombies, move to (5, 5).",
2 generationLine2,direct,2,00006,new,,,Self Preservation,Always multi-action in crises: attack + eat + move.,
2 generationLine2,direct,3,00007,new,,,Self Preservation,Immediately upon pickup: equip Leather Tunic to torso and Bow in hand.,
2 generationLine2,direct,3,00010,mutated,00004,0.68,Communication,"After clearing all threats (none approaching): message living teammate ""Clear, X arrows left, ready for next.""","After clearing threats, message teammate: confirm clear, report arrows remaining, signal ready for next wave."
2 generationLine2,direct,3,00011,mutated,00005,0.903,Spatial Coordination & Architecture|Self Preservation,"When health low: multi-action eat bread until full + attack all approaching zombies + move to (5, 5).","When health low: eat bread until full, bow attack all approaching zombies, move to (5, 5)."
2 generationLine2,direct,3,00012,new,,,Communication,Always multi-action in crises; never message during fights or to dead/empty teammates.,
2 generationLine2,direct,3,,disappeared,00001,,Self Preservation,,Equip Leather Tunic to torso immediately upon pickup.
2 generationLine2,direct,3,,disappeared,00006,,Self Preservation,,Always multi-action in crises: attack + eat + move.
2 generationLine2,direct,4,00013,mutated,00007,0.8,Communication|Self Preservation,Immediately upon pickup: multi-action equip Leather Tunic to torso then Bow in hand. Do not message.,Immediately upon pickup: equip Leather Tunic to torso and Bow in hand.
2 generationLine2,direct,4,00016,persisted,00010,1.0,Communication,"After clearing all threats (none approaching): message living teammate ""Clear, X arrows left, ready for next.""","After clearing all threats (none approaching): message living teammate ""Clear, X arrows left, ready for next."""
2 generationLine2,direct,4,00017,mutated,00011,0.8,Spatial Coordination & Architecture|Self Preservation,"When take damage or health low: multi-action eat_bread_until_full + bow attack closest zombies + move to (5, 5).","When health low: multi-action eat bread until full + attack all approaching zombies + move to (5, 5)."
2 generationLine2,direct,4,00018,mutated,00012,0.829,Communication,Always multi-action in crises/fights; never message/do_nothing during threats or to dead teammates.,Always multi-action in crises; never message during fights or to dead/empty teammates.
2 generationLine2,direct,4,00019,new,,,Communication,"On teammate ""clear"" message with no threats: send own ""Clear, X arrows left, ready for next.""",
2 generationLine2,direct,5,00020,persisted,00013,1.0,Communication|Self Preservation,Immediately upon pickup: multi-action equip Leather Tunic to torso then Bow in hand. Do not message.,Immediately upon pickup: multi-action equip Leather Tunic to torso then Bow in hand. Do not message.
2 generationLine2,direct,5,00023,persisted,00016,1.0,Communication,"After clearing all threats (none approaching): message living teammate ""Clear, X arrows left, ready for next.""","After clearing all threats (none approaching): message living teammate ""Clear, X arrows left, ready for next."""
2 generationLine2,direct,5,00024,mutated,00017,0.967,Spatial Coordination & Architecture|Self Preservation,"When take damage or health low: multi-action eat_bread_until_full + bow_attack closest zombies if any + move to (5, 5).","When take damage or health low: multi-action eat_bread_until_full + bow attack closest zombies + move to (5, 5)."
2 generationLine2,direct,5,00025,mutated,00018,0.874,Communication,"Always multi-action in crises/fights; never do_nothing, message during threats, or message dead teammates.",Always multi-action in crises/fights; never message/do_nothing during threats or to dead teammates.
2 generationLine2,direct,5,00026,mutated,00019,0.81,Communication,"On teammate ""clear"" message with no threats: multi-action eat_bread_until_full + send ""Clear, X arrows left, ready for next.""","On teammate ""clear"" message with no threats: send own ""Clear, X arrows left, ready for next."""
3 generationLine1,direct,2,00027,new,,,Self Preservation,Equip leather tunic and stone sword immediately upon pickup.,
3 generationLine1,direct,2,00029,new,,,Communication|Mutualism|Self Preservation,"Communicate all attacks, plans, and status updates to partner: ""Attacking [ID], cover me"" or ""Health low, eating.""",
3 generationLine1,direct,2,00030,new,,,Self Preservation,Eat bread until full when health drops below 10.,
3 generationLine1,direct,2,00031,new,,,Spatial Coordination & Architecture|Self Preservation,"Move away from spawn (0,0) to x=-20 z=20 or similar safe spot when health <5 or alone.",
3 generationLine1,direct,2,00032,new,,,Communication|Mutualism,"Alert partner to incoming hostiles and coordinate coverage: melee close, bow range.",
3 generationLine1,direct,2,00033,new,,,Communication,Do not idle during threats; always act or communicate.,
3 generationLine1,direct,2,00034,new,,,Spatial Coordination & Architecture|Self Preservation,Prioritize self-heal and retreat over chasing kills when partner dies.,
3 generationLine1,direct,3,00035,new,,,Communication,"Equip both leather tunic and stone sword immediately upon pickup, then communicate items to partner.",
3 generationLine1,direct,3,00036,new,,,Communication|Mutualism,"Attack closest hostile: melee if <5 blocks, bow if farther; communicate ""Attacking [ID] [melee/bow], cover me"".",
3 generationLine1,direct,3,00037,new,,,Communication|Self Preservation,"Communicate all attacks, plans, status, and incoming hostiles (even distant): ""Health [X], eating"" or ""Zombie [ID] at [dist], retreating"".",
3 generationLine1,direct,3,00038,mutated,00030,0.737,Self Preservation,Eat bread until full immediately when health <10.,Eat bread until full when health drops below 10.
3 generationLine1,direct,3,00039,new,,,Spatial Coordination & Architecture|Self Preservation,"Retreat to exact safe spot x=-20 z=20 when health <5, partner low, or alone; follow partner there.",
3 generationLine1,direct,3,00040,new,,,Altruism|Mutualism,"Coordinate: one melee close threats, other bow range; cover retreating partner.",
3 generationLine1,direct,3,00041,new,,,Communication|Self Preservation,"Never idle or do nothing; always attack, move, eat, or communicate status/threats.",
3 generationLine1,direct,3,00042,new,,,Mutualism|Spatial Coordination & Architecture|Self Preservation,"Prioritize self-heal, retreat, and partner coverage over kills; both use same safe spot.",
3 generationLine1,direct,3,,disappeared,00027,,Self Preservation,,Equip leather tunic and stone sword immediately upon pickup.
3 generationLine1,direct,3,,disappeared,00029,,Communication|Mutualism|Self Preservation,,"Communicate all attacks, plans, and status updates to partner: ""Attacking [ID], cover me"" or ""Health low, eating."""
3 generationLine1,direct,3,,disappeared,00031,,Spatial Coordination & Architecture|Self Preservation,,"Move away from spawn (0,0) to x=-20 z=20 or similar safe spot when health <5 or alone."
3 generationLine1,direct,3,,disappeared,00032,,Communication|Mutualism,,"Alert partner to incoming hostiles and coordinate coverage: melee close, bow range."
3 generationLine1,direct,3,,disappeared,00033,,Communication,,Do not idle during threats; always act or communicate.
3 generationLine1,direct,3,,disappeared,00034,,Spatial Coordination & Architecture|Self Preservation,,Prioritize self-heal and retreat over chasing kills when partner dies.
3 generationLine1,direct,4,00043,mutated,00035,0.765,Communication,"Equip leather tunic to chest and stone sword to hand immediately upon pickup, communicate ""Equipped tunic/sword, [other items]"" to partner.","Equip both leather tunic and stone sword immediately upon pickup, then communicate items to partner."
3 generationLine1,direct,4,00044,mutated,00038,0.616,Communication|Self Preservation,Eat bread until full immediately upon any damage taken or health <15; combine with move/communicate.,Eat bread until full immediately when health <10.
3 generationLine1,direct,4,00045,became less specific,00036,0.916,Communication|Mutualism,"Attack closest hostile: melee <5 blocks, bow >=5; communicate ""Attacking [ID] [melee/bow], cover me"".","Attack closest hostile: melee if <5 blocks, bow if farther; communicate ""Attacking [ID] [melee/bow], cover me""."
3 generationLine1,direct,4,00046,new,,,Communication|Spatial Coordination & Architecture|Self Preservation,"If health <6, retreating, partner health <10 or retreating: move to x=-20 z=20 + eat/communicate IMMEDIATELY; do NOT attack even close mobs.",
3 generationLine1,direct,4,00047,new,,,Communication|Self Preservation,"Communicate EVERY turn: health ""Health [X]"", eating, damage, hostiles ""Zombie/skeleton [ID] at [dist]"", plans ""Retreating, cover"".",
3 generationLine1,direct,4,00048,new,,,Altruism|Mutualism,"Coordinate: one melee close, one bow ranged; if partner retreats follow immediately and cover from afar; never solo advance/patrol.",
3 generationLine1,direct,4,00049,mutated,00041,0.677,Communication|Self Preservation,"Never idle: always attack (if safe), eat, move, or communicate.","Never idle or do nothing; always attack, move, eat, or communicate status/threats."
3 generationLine1,direct,4,00050,became more specific,00042,0.774,Spatial Coordination & Architecture|Self Preservation,Prioritize self-heal/eat > retreat > partner cover > kills; same safe spot x=-20 z=20.,"Prioritize self-heal, retreat, and partner coverage over kills; both use same safe spot."
3 generationLine1,direct,4,,disappeared,00037,,Communication|Self Preservation,,"Communicate all attacks, plans, status, and incoming hostiles (even distant): ""Health [X], eating"" or ""Zombie [ID] at [dist], retreating""."
3 generationLine1,direct,4,,disappeared,00039,,Spatial Coordination & Architecture|Self Preservation,,"Retreat to exact safe spot x=-20 z=20 when health <5, partner low, or alone; follow partner there."
3 generationLine1,direct,4,,disappeared,00040,,Altruism|Mutualism,,"Coordinate: one melee close threats, other bow range; cover retreating partner."
3 generationLine1,direct,5,00051,became more specific,00043,0.828,Communication|Mutualism,"Equip leather tunic to chest and stone sword to hand immediately upon pickup, communicate ""Equipped tunic/sword, [other items incl. bow/arrows]"" to partner. Assign roles: ""I [melee/bow], you [bow/melee]"".","Equip leather tunic to chest and stone sword to hand immediately upon pickup, communicate ""Equipped tunic/sword, [other items]"" to partner."
3 generationLine1,direct,5,00052,became more specific,00044,0.633,Communication|Self Preservation,"Eat bread until full if health <20, damage taken, or after kills; always combine with communicate; eat proactively when safe.",Eat bread until full immediately upon any damage taken or health <15; combine with move/communicate.
3 generationLine1,direct,5,00053,mutated,00045,0.853,Communication|Mutualism,"Attack closest hostile: melee <5 blocks, bow/switch to bow >=5; communicate ""Attacking [ID] [melee/bow], cover me [specific threats]"".","Attack closest hostile: melee <5 blocks, bow >=5; communicate ""Attacking [ID] [melee/bow], cover me""."
3 generationLine1,direct,5,00054,mutated,00046,0.779,Communication|Spatial Coordination & Architecture|Self Preservation,"If health <8, partner health <12/dying/retreating, or >2 hostiles: retreat to x=-20 z=20 + eat/communicate IMMEDIATELY; do NOT attack/engage.","If health <6, retreating, partner health <10 or retreating: move to x=-20 z=20 + eat/communicate IMMEDIATELY; do NOT attack even close mobs."
3 generationLine1,direct,5,00055,mutated,00047,0.786,Communication|Self Preservation,"Communicate EVERY turn: ""Health [X]"", eating/damage/status, hostiles ""[type] [ID] at [dist]"", plans ""Attacking [ID]/Retreating/clear"".","Communicate EVERY turn: health ""Health [X]"", eating, damage, hostiles ""Zombie/skeleton [ID] at [dist]"", plans ""Retreating, cover""."
