Bot1: 69765, Bot2: 69191
Bot1: 117466, Bot2: 150037
Bot1: 95238, Bot2: 83909
Bot1: 124155, Bot2: 114160
Bot1: 120409, Bot2: 123817
Bot1: 133443, Bot2: 132675
Bot1: 85406, Bot2: 81474
Bot1: 82964, Bot2: 99294
Bot1: 75069, Bot2: 74800
Bot1: 69189, Bot2: 114016
Bot1: 129633, Bot2: 101864
Bot1: 114568, Bot2: 100307
Bot1: 95418, Bot2: 91300
Bot1: 92928, Bot2: 78034
Bot1: 90479, Bot2: 68788
Bot1: 107760, Bot2: 63670
Bot1: 58633, Bot2: 106782
Bot1: 94139, Bot2: 99648
Bot1: 55891, Bot2: 93871
Bot1: 53096, Bot2: 85015
